RecordingTimestamp	GazePointX (ADCSpx)	GazePointY (ADCSpx)	IRMarkerID	
14767	242	243	11, 14, 17, 18, 29	
14800	240	243	11, 14, 18, 29	
14833	239	242	11, 14, 17, 18, 29	
14867	237	242	11, 14, 17, 18, 29	
14900	244	236	11, 14, 17, 18, 29	
14933	238	329	11, 14, 17, 18, 29	
14967			11, 14, 17, 18, 29	
15000			11, 14, 17, 18, 29	
15033	360	156	11, 14, 17, 18, 29	
15067				
15100	356	141	11, 14, 17, 18, 29	
15133	362	141	11, 14, 17, 18, 29	
15167	366	144	11, 14, 17, 18, 29	
15200				
15233	368	144	11, 14, 17, 18, 29	
15267	370	145	11, 14, 17, 18, 29	
15300	368	144	11, 14, 17, 18, 29	
15333				
15367	368	144	11, 14, 17, 18, 29	
15400	371	146	11, 14, 17, 18, 29	
15433	369	145	11, 14, 17, 18, 29	
15467	370	145	11, 14, 17, 18, 29	
15500	369	144	11, 14, 17, 18, 29	
15533	370	145	11, 14, 17, 18, 29	
15567	373	146	11, 14, 17, 18, 29	
15600	372	145	11, 14, 17, 18, 29	
15633	373	147	11, 14, 17, 18, 29	
15667	372	147	11, 14, 17, 18, 29	
15700	369	147	11, 14, 17, 18, 29	
15733	369	147	11, 14, 17, 18, 29	
15767	369	148	11, 14, 17, 18, 29	
15800	369	148	11, 14, 17, 18, 29	
15833	368	148	11, 14, 17, 18, 29	
15867	368	147	11, 14, 17, 18, 29	
15900	368	147	11, 14, 17, 18, 29	
15933	375	150	11, 14, 17, 18, 29	
15967	371	157	11, 14, 17, 18, 29	
16000	367	159	11, 14, 18, 29	
16033	366	156	11, 14, 17, 18, 29	
16067	363	156	11, 14, 18, 29	
16100	361	155	11, 14, 17, 18, 29	
16133	361	155	11, 14, 18, 29	
16167	363	156	11, 14, 17, 18, 29	
16200	312	170	11, 14, 18, 29	
16233	320	170	11, 14, 17, 18, 29	
16267	318	172	11, 14, 18, 29	
16300	319	173	11, 14, 17, 18, 29	
16333	319	175	11, 14, 17, 18, 29	
16367	318	168	11, 14, 18, 29	
16400	335	245	11, 14, 17, 18, 29	
16433	333	240	11, 14, 17, 18, 29	
16467	332	240	11, 14, 17, 18, 29	
16500	335	243	11, 14, 18, 29	
16533	337	244	11, 14, 17, 18, 29	
16567	340	250	11, 14, 17, 18, 29	
16600	339	250	11, 14, 17, 18, 29	
16633	335	244	11, 14, 17, 18, 29	
16667	336	244	11, 14, 18, 29	
16700	339	249	11, 14, 17, 18, 29	
16733	290	274	11, 14, 17, 18, 29	
16767	289	273	11, 14, 17, 18, 29	
16800	290	274	11, 14, 17, 18, 29	
16833	294	276	11, 14, 17, 18, 29	
16867	285	272	11, 14, 17, 18, 29	
16900	345	283	11, 14, 17, 18, 29	
16933	342	283	11, 14, 17, 18, 29	
16967	342	283	11, 14, 17, 18, 29	
17000	346	289	11, 14, 17, 18, 29	
17033	352	293	11, 14, 17, 18, 29	
17067	349	289	11, 14, 17, 18, 29	
17100	349	290	11, 14, 17, 18, 29	
17133	349	292	11, 14, 17, 18, 29	
17167	349	292	11, 14, 17, 18, 29	
17200	348	292	11, 14, 17, 18, 29	
17233	348	292	11, 14, 17, 18, 29	
17267	353	289	11, 14, 17, 18, 29	
17300	321	295	11, 14, 17, 18, 29	
17333	321	294	11, 14, 17, 18, 29	
17367	321	294	11, 14, 17, 18, 29	
17400	322	295	11, 14, 17, 18, 29	
17433	322	294	11, 14, 17, 18, 29	
17467	324	294	11, 14, 17, 18, 29	
17500	327	299	11, 14, 17, 18, 29	
17533	327	300	11, 14, 17, 18, 29	
17567	326	299	11, 14, 17, 18, 29	
17600	327	301	11, 14, 17, 18, 29	
17633	323	295	11, 14, 17, 18, 29	
17667	324	296	11, 14, 17, 18, 29	
17700	323	296	11, 14, 17, 18, 29	
17733	326	301	11, 14, 17, 18, 29	
17767	289	306	11, 14, 17, 18, 29	
17800	293	306	11, 14, 17, 18, 29	
17833	293	306	11, 14, 17, 18, 29	
17867	295	306	11, 14, 17, 18, 29	
17900	295	306	11, 14, 17, 18, 29	
17933	296	307	11, 14, 17, 18, 29	
17967			11, 14, 17, 18, 29	
18000	359	257	11, 14, 17, 18, 29	
18033	357	258	11, 14, 17, 18, 29	
18067	364	260	11, 14, 17, 18, 29	
18100	367	261	11, 14, 17, 18, 29	
18133	366	251	11, 14, 17, 18, 29	
18167	351	152	11, 14, 17, 18, 29	
18200	351	152	11, 14, 17, 18, 29	
18233	354	155	11, 14, 17, 18, 29	
18267	354	155	11, 14, 17, 18, 29	
18300	355	157	11, 14, 17, 18, 29	
18333	354	160	11, 14, 17, 18, 29	
18367	357	161	11, 14, 17, 18, 29	
18400	273	203	11, 14, 17, 18, 29	
18433	256	200	11, 14, 17, 18, 29	
18467	257	201	11, 14, 17, 18, 29	
18500	256	201	11, 14, 17, 18, 29	
18533	258	203	11, 14, 17, 18, 29	
18567	262	206	11, 14, 17, 18, 29	
18600	258	205	11, 14, 17, 18, 29	
18633	249	203	11, 14, 17, 18, 29	
18667	323	176	11, 14, 17, 18, 29	
18700	317	175	11, 14, 17, 18, 29	
18733	319	177	11, 14, 17, 18, 29	
18767	322	178	11, 14, 17, 18, 29	
18800	323	178	11, 14, 17, 18, 29	
